min-max;0-9;10-19;20-29;30-39;40-40;50-59;60-69;70-79;80-89;90-99
PROVENCE ALPES COTE D AZUR;947289;1011185;899925;1011393;1039933;1045024;925396;685554;388635;109812
BOURGOGNE FRANCHE COMTE;294911;337523;278704;316266;343386;375152;370965;273884;158704;45022
BRETAGNE;358854;420026;336795;380987;426533;445106;439290;313107;188329;49497
CENTRE VAL DE LOIRE;286442;315627;250662;294118;320645;341552;330653;240892;143677;41458
CORSE;34918;35381;33366;43925;45711;47378;44776;36181;19360;4871
GRAND EST;603551;667886;620483;679743;696109;758417;704607;463623;274937;66646
HAUTS DE FRANCE;735879;801799;694731;753474;761851;764425;703984;453909;254103;63640
ILE DE FRANCE;1602369;1558236;1664686;1762801;1666412;1535230;1174120;786759;421846;119098
NORMANDIE;370408;415653;345823;387609;407395;436983;430210;297383;174656;47312
NOUVELLE AQUITAINE;602311;698116;595734;683154;759491;806884;812133;601928;354385;104288
OCCITANIE;629817;702675;640230;696309;743025;789383;755932;574836;324970;94673
PAYS DE LA LOIRE;439899;499179;401810;457399;490180;485883;463692;327683;195901;56795
PROVENCE ALPES COTE D AZUR;556172;581043;512525;602502;633523;680514;632801;511682;287095;79725
