"date_de_deces";"deces_totaux";"deces_covid_confirme";"deces_covid_suspecte";"cumul_deces_covid_confirme";"cumul_deces_covid_suspecte"
2020-08-06;1560;15;1;27267;8525
2020-08-07;1562;11;2;27278;8527
2020-08-08;1573;11;2;27289;8529
2020-08-09;1590;19;3;27308;8532
2020-08-10;1741;10;4;27318;8536
2020-08-11;1738;17;2;27335;8538
2020-08-12;1758;23;6;27358;8544
2020-08-13;1696;24;8;27382;8552
2020-08-14;1520;19;2;27401;8554
2020-08-15;1555;24;4;27425;8558
2020-08-16;1506;12;5;27437;8563
2020-08-17;1431;13;5;27450;8568
2020-08-18;1531;19;4;27469;8572
2020-08-19;1473;11;3;27480;8575
2020-08-20;1501;14;8;27494;8583
2020-08-21;1492;21;2;27515;8585
2020-08-22;1442;18;3;27533;8588
2020-08-23;1426;15;4;27548;8592
2020-08-24;1504;13;4;27561;8596
2020-08-25;1416;17;2;27578;8598
2020-08-26;1519;17;7;27595;8605
2020-08-27;1482;23;4;27618;8609
2020-08-28;1526;18;1;27636;8610
2020-08-29;1416;10;3;27646;8613
2020-08-30;1353;19;5;27665;8618
2020-08-31;1426;13;2;27678;8620
