fra;strate2;jour;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;0;2020-05-03;2;;0;0;0;0
FR;0;2020-05-04;0;1.83118541542021;5.56507528608175;0.768829678077157;35.1977974519703;4.98249310753878
FR;0;2020-05-04;1;;0;0;0;0
FR;0;2020-05-04;2;;0;0;0;0
FR;0;2020-05-05;0;1.72241687569224;5.27750914680095;0.770319658073431;33.8627753753092;4.72174660819091
FR;0;2020-05-05;1;;0;0;0;0
FR;0;2020-05-05;2;;0;0;0;0
FR;0;2020-05-06;0;1.68218741579285;4.96908328757232;0.721150318196403;32.6618514983127;4.38799108902563
FR;0;2020-05-06;1;;0;0;0;0
FR;0;2020-05-06;2;;0;0;0;0
FR;0;2020-05-07;0;1.54510925613568;4.62191794844058;0.674960938311923;31.4743374412827;4.1421443896405
FR;0;2020-05-07;1;;0;0;0;0
FR;0;2020-05-07;2;;0;0;0;0
FR;0;2020-05-08;0;1.52871947617667;4.37905120904799;0.65708117835664;29.8740989252849;3.90225761024045
FR;0;2020-05-08;1;;0;0;0;0
FR;0;2020-05-08;2;;0;0;0;0
FR;0;2020-05-09;0;1.48551005628474;4.22260330943927;0.640691398397631;29.738510745624;3.84712835037833
FR;0;2020-05-09;1;;0;0;0;0
FR;0;2020-05-09;2;;0;0;0;0
FR;0;2020-05-10;0;1.40654111648224;4.14363436963677;0.631751518419989;29.6714616457917;3.8039189304864
FR;0;2020-05-10;1;;0;0;0;0
FR;0;2020-05-10;2;;0;0;0;0
FR;0;2020-05-11;0;1.29330263676545;3.92311733018828;0.601951918494518;29.8994285852215;3.77709929055347
FR;0;2020-05-11;1;;0;0;0;0
FR;0;2020-05-11;2;;0;0;0;0
FR;0;2020-05-12;0;1.2456232768847;3.64449107088513;0.552782578617491;28.8281329679008;3.50741291122796
FR;0;2020-05-12;1;;0;0;0;0
FR;0;2020-05-12;2;;0;0;0;0
FR;0;2020-05-13;0;1.1666543370822;3.44781371137702;0.521492998695746;27.7329976706398;3.29732573175339
FR;0;2020-05-13;1;;0;0;0;0
FR;0;2020-05-13;2;;0;0;0;0
FR;0;2020-05-14;0;1.11450503721262;3.23772653190245;0.496163338759095;26.7868603730061;3.11256821221547
FR;0;2020-05-14;1;;0;0;0;0
FR;0;2020-05-14;2;;0;0;0;0
FR;0;2020-05-15;0;1.05341585736541;3.31967543169749;0.487223458781454;25.8407230753724;2.97698003255457
FR;0;2020-05-15;1;;0;0;0;0
FR;0;2020-05-15;2;;0;0;0;0
