fra;jour;clage_90;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-04-04;0;0;5.41458730645812;30.0737562447855;5.87946106529547;48.1531735195689;10.8530142928566
FR;2020-04-04;0;1;;0;0;0;0
FR;2020-04-04;0;2;;0;0;0;0
FR;2020-04-05;0;0;5.61126466596623;28.698504708225;5.49951616624571;48.2872717192335;10.8962237127485
FR;2020-04-05;0;1;;0;0;0;0
FR;2020-04-05;0;2;;0;0;0;0
FR;2020-04-06;0;0;5.63808430589915;27.4201018714223;5.08977166727048;50.4328429138675;11.0973710122455
FR;2020-04-06;0;1;;0;0;0;0
FR;2020-04-06;0;2;;0;0;0;0
FR;2020-04-07;0;0;5.57848510604821;26.0791198747761;4.62936784842195;49.8711204552723;10.9915824325101
FR;2020-04-07;0;1;;0;0;0;0
FR;2020-04-07;0;2;;0;0;0;0
FR;2020-04-08;0;0;5.40117748649165;24.5489104186032;4.18386382953616;49.5656745560362;10.8410944528864
FR;2020-04-08;0;1;;0;0;0;0
FR;2020-04-08;0;2;;0;0;0;0
FR;2020-04-09;0;0;5.36094802659227;23.6117130009471;3.84265841038951;49.5895142359766;10.6608068733373
FR;2020-04-09;0;1;;0;0;0;0
FR;2020-04-09;0;2;;0;0;0;0
FR;2020-04-10;0;0;5.17470052705807;22.3303302041518;3.47016341132112;49.5582246560549;10.4015503539857
FR;2020-04-10;0;1;;0;0;0;0
FR;2020-04-10;0;2;;0;0;0;0
FR;2020-04-11;0;0;5.09871154724812;21.3871728665107;3.21537683195834;48.4496795388274;10.0320353149099
FR;2020-04-11;0;1;;0;0;0;0
FR;2020-04-11;0;2;;0;0;0;0
FR;2020-04-12;0;0;4.87223458781454;21.1294063271554;3.07978865229745;48.4556394588124;9.9351866151521
FR;2020-04-12;0;1;;0;0;0;0
FR;2020-04-12;0;2;;0;0;0;0
FR;2020-04-13;0;0;4.69492696825799;19.1104834322047;2.75795297310236;48.8579340578063;9.88601727527507
FR;2020-04-13;0;1;;0;0;0;0
FR;2020-04-13;0;2;;0;0;0;0
FR;2020-04-14;0;0;4.6040381884853;18.0406777948803;2.56723553357934;49.7802316754996;9.85770765534587
FR;2020-04-14;0;1;;0;0;0;0
FR;2020-04-14;0;2;;0;0;0;0
FR;2020-04-15;0;0;4.58317846853747;17.2077789769633;2.42121749394454;48.442229638846;9.45243309635946
FR;2020-04-15;0;1;;0;0;0;0
